Recording Codec,Recording Resolution,Sensor Active Image Area (photosites),Recording File Container Size (pixel),Recording File Image Content (pixel),Sensor Image Area (mm),Sensor Image Area (inch),Image Circle (mm),Image Circle (inch),Frame Size (MB),Frame Size (Byte),Max FPS
ProRes,4.6K,4608 x 3164,4608 x 3164,4608 x 3164,27.99 x 19.22,1.102 x 0.757,33.96,1.337,,,60
ARRIRAW,4.6K,4608 x 3164,4608 x 3164,4608 x 3164,27.99 x 19.22,1.102 x 0.757,33.96,1.337,,,35/75
ProRes,4K,4608 x 2592,4096 x 2304,4096 x 2304,27.99 x 15.75,1.102 x 0.620,32.12,1.265,,,75
ARRIRAW,4.6K,4608 x 2592,4608 x 2592,4608 x 2592,27.99 x 15.75,1.102 x 0.620,32.12,1.265,,,45/75
ProRes,4K,4096 x 2304,4096 x 2304,4096 x 2304,24.88 x 14.00,0.980 x 0.551,28.55,1.124,,,90-100/100
ARRIRAW,4K,4096 x 2304,4096 x 2304,4096 x 2304,24.88 x 14.00,0.980 x 0.551,28.55,1.124,,,55/120
ProRes,UHD,4096 x 2304,3840 x 2160,3840 x 2160,24.88 x 14.00,0.980 x 0.551,28.55,1.124,,,105-120/120
ProRes,2K,4096 x 2304,2048 x 1152,2048 x 1152,24.88 x 14.00,0.980 x 0.551,28.55,1.124,,,120
ProRes,HD,4096 x 2304,1920 x 1080,1920 x 1080,24.88 x 14.00,0.980 x 0.551,28.55,1.124,,,120
ProRes,4K 2:1,4096 x 2048,4096 x 2048,4096 x 2048,24.88 x 12.44,0.980 x 0.490,27.82,1.095,,,100-120/120
ARRIRAW,4K 2:1,4096 x 2048,4096 x 2048,4096 x 2048,24.88 x 12.44,0.980 x 0.490,27.82,1.095,,,65/120
ARRIRAW,UHD,3840 x 2160,3840 x 2160,3840 x 2160,23.325 x 13.12,0.918 x 0.517,26.76,1.054,,,65/120
ProRes,3.3K,3328 x 2790,3328 x 2790,3328 x 2790,20.22 x 16.95,0.796 x 0.667,26.38,1.039,,,75
ProRes,4K 2.39:1 Ana 2x,3328 x 2790,4096 x 1716,4096 x 1716,20.22 x 16.95,0.796 x 0.667,26.38,1.039,,,75
ARRIRAW,3.3K,3328 x 2790,3328 x 2790,3328 x 2790,20.22 x 16.95,0.796 x 0.667,26.38,1.039,,,55/100
ProRes,3.8K 2:1 Ana 2x,3072 x 3072,3840 x 1920,3840 x 1920,18.66 x 18.66,0.735 x 0.735,26.39,1.039,,,100
ProRes,3K 1:1,3072 x 3072,3072 x 3072,3072 x 3072,18.66 x 18.66,0.735 x 0.735,26.39,1.039,,,90
ARRIRAW,3K 1:1,3072 x 3072,3072 x 3072,3072 x 3072,18.66 x 18.66,0.735 x 0.735,26.39,1.039,,,55/100
ProRes,UHD 16:9 Ana 2x,2743 x 3086,3840 x 2160,3840 x 2160,16.66 x 18.75,0.656 x 0.738,25.08,0.987,,,100
ProRes,2K,2048 x 1152,2048 x 1152,2048 x 1152,12.44 x 7.00,0.490 x 0.275,14.27,0.562,,,120
