Recording Codec,Recording Resolution,Sensor Active Image Area (photosites),Recording File Container Size (pixel),Recording File Image Content (pixel),Sensor Image Area (mm),Sensor Image Area (inch),Image Circle (mm),Image Circle (inch),Frame Size in MB,Frame Size in Byte,Max FPS
ProRes,2.8K S35 16:9 - HD,2880 x 1620,1920 x 1080,1920 x 1080,23.76 x 13.37,0.935 x 0.526,27.26,1.073,-,-,100
ProRes,2.8K S35 4:3 - 2.8K,2880 x 2160,3072 x 2160,2880 x 2160,23.76 x 17.82,0.935 x 0.702,29.70,1.169,-,-,75
ProRes,3.2K S35 16:9 - 3.2K,3200 x 1800,3200 x 1800,3200 x 1800,26.40 x 14.85,1.039 x 0.585,30.29,1.193,-,-,60
ARRIRAW,3.4K S35 3:2 - 3.4K,3424 x 2202,3424 x 2202,3424 x 2202,28.25 x 18.17,1.112 x 0.715,33.59,1.322,11.5,11.529.544,60
ProRes,2.8K LF 1:1 - 2.8K,2880 x 2880,3072 x 2880,2880 x 2880,23.76 x 23.76,0.935 x 0.935,33.60,1.322,-,-,60
ARRIRAW,2.8K LF 1:1 - 2.8K,2880 x 2880,2880 x 2880,2880 x 2880,23.76 x 23.76,0.935 x 0.935,33.60,1.322,12.4,12.445.696,60
ProRes,3.8K LF 16:9 - HD,3840 x 2160,1920 x 1080,1920 x 1080,31.68 x 17.82,1.247 x 0.702,36.35,1.431,-,-,90
ProRes,3.8K LF 16:9 - 2K,3840 x 2160,2048 x 1152,2048 x 1152,31.68 x 17.82,1.247 x 0.702,36.35,1.431,-,-,90
ProRes,3.8K LF 16:9 - UHD,3840 x 2160,3840 x 2160,3840 x 2160,31.68 x 17.82,1.247 x 0.702,36.35,1.431,-,-,60
ARRIRAW,3.8K LF 16:9 - UHD,3840 x 2160,3840 x 2160,3840 x 2160,31.68 x 17.82,1.247 x 0.702,36.35,1.431,12.7,12.661.672,60
ProRes,4.5K LF 2.39:1 - 4.5K,4448 x 1856,4480 x 1856,4448 x 1856,36.70 x 15.31,1.445 x 0.603,39.76,1.565,-,-,60
ARRIRAW,4.5K LF 2.39:1 - 4.5K,4448 x 1856,4448 x 1856,4448 x 1856,36.70 x 15.31,1.445 x 0.603,39.76,1.565,12.6,12.603.304,60
ProRes,4.3K LF 16:9 - HD,4320 x 2430,1920 x 1080,1920 x 1080,35.64 x 20.05,1.364 x 0.789,40.89,1.576,-,-,75
ProRes,4.3K LF 16:9 - UHD,4320 x 2430,3840 x 2160,3840 x 2160,35.64 x 20.05,1.364 x 0.789,40.89,1.576,-,-,48
ProRes,4.5K LF 3:2 Open Gate - 4.5K,4448 x 3096,4480 x 3096,4448 x 3096,36.70 x 25.54,1.445 x 1.006,44.71,1.760,-,-,40
ARRIRAW,4.5K LF 3:2 Open Gate - 4.5K,4448 x 3096,4448 x 3096,4448 x 3096,36.70 x 25.54,1.445 x 1.006,44.71,1.760,20.9,20.876.584,40
