Format,Resolution,Dimensions,Diag.,Max FPS,Unsqueezed,Squashed,Ratio
8K 4:3 2X,5760x4320,28.80x21.60,36.00,120,11520x4320,5760x2160,2.67:1
8K 6:5 2X,5184x4320,25.92x21.60,30.74,120,10368x4320,5184x2160,2.40:1
8K 1:1 2X,4320x4320,21.60x21.60,25.60,120,8640x4320,4320x2160,2.00:1
8K 3:2 1.8X,6480x4320,32.40x21.60,38.40,120,11664x4320,6480x2400,2.70:1
8K 4:3 1.8X,5758x4320,28.80x21.60,36.00,120,10364x4320,5758x2400,2.40:1
8K 3:2 1.6X,6480x4320,32.40x21.60,38.40,120,10368x4320,6480x2700,2.40:1
8K 16:9 1.5X,7680x4320,38.40x21.60,44.06,120,11520x4320,7680x2880,2.67:1
8K 17:9 1.3X,8192x4320,40.96x21.60,46.31,120,10922x4320,8192x3240,2.53:1
8K 16:9 1.3X,7680x4320,38.40x21.60,44.06,120,10240x4320,7680x3240,2.37:1
8K 17:9 1.25X,8192x4320,40.96x21.60,46.31,120,10240x4320,8192x3456,2.37:1
